round	change	metric_before	metric_after	delta%	status	lines_changed
1	api-tests-29	59	168	185%	kept	600
2	engine-tests-26	59	168	185%	kept	450
3	queue-tests-12	59	168	185%	kept	280
4	model-tests-14	59	168	185%	kept	350
5	metrics-tests-5	59	168	185%	kept	100
6	rate-limiter	168	186	10.7%	kept	180
7	graceful-drain	168	186	10.7%	kept	60
8	integration-tests-8	168	186	10.7%	kept	200
9	structured-error-codes	168	186	10.7%	kept	40
10	config-validation	168	186	10.7%	kept	80
11	api-key-auth	186	195	4.8%	kept	150
12	health-diagnostics	186	195	4.8%	kept	80
13	cli-flags	186	195	4.8%	kept	30
14	config-wiring	186	195	4.8%	kept	40
15	request-id-errors	186	195	4.8%	kept	50
16	go-sdk	195	219	12.3%	kept	350
17	benchmarks	195	219	12.3%	kept	150
18	integration-tests-6	195	219	12.3%	kept	250
19	audio-validation	219	242	10.5%	kept	160
20	enhanced-logging	219	242	10.5%	kept	20
21	version-endpoint	219	242	10.5%	kept	120
22	helm-chart	242	242	0%	kept	300
23	makefile	242	242	0%	kept	100
24	gitignore-dockerignore	242	242	0%	kept	50
25	handler-transcribe-tests-10	242	294	21.5%	kept	250
26	audio-edge-cases-4	242	294	21.5%	kept	80
27	format-edge-cases-8	242	294	21.5%	kept	200
28	pipeline-edge-cases-12	242	294	21.5%	kept	300
29	translation-endpoint	294	315	7.1%	kept	200
30	config-validation-enhance	294	315	7.1%	kept	60
31	sdk-integration-tests	294	315	7.1%	kept	120
32	ci-coverage	315	317	0.6%	kept	50
33	readme-overhaul	315	317	0.6%	kept	100
34	sdk-translate-version	315	317	0.6%	kept	50
35	websocket-tests-5	317	331	4.4%	kept	150
36	auth-integration-tests-6	317	331	4.4%	kept	100
37	translate-version-integration	317	331	4.4%	kept	80
